    ALIN 284/2411  ,  Introduction to Egyptian Culture - Intermediate (2-3 cr.),
    ALIN 384/3411  ,  Introduction to Egyptian Culture - Advanced (2-3 cr.),
Arabic Language Intensive , Literature,
    ALIN 252/2251  ,  Readings in Modern Arabic Literature (2-3 cr.),
    ALIN 352/3251  ,  Readings in Modern Arabic Literature (3 cr.),
    ALIN 353,354/3252-3253  -  Readings in the Modern Arabic Novel (3 cr. each),
Arabic Language Intensive , Media Arabic,
    ALIN 131,132/1131-1132  -  Elementary Printed Media (2-3 cr. each),
    ALIN 133,134/1133-1134  -  Elementary Aural Media (2-3 cr. each),
    ALIN 231,232/2131-2132  -  Intermediate Printed Media (2-3 cr. each),
    ALIN 233,234/2133-2134  -  Intermediate Aural Media (2-3 cr. each),
    ALIN 331,332/3131-3132  -  Advanced Printed Media (2-3 cr. each),
    ALIN 333,334/3133-3134  -  Advanced Aural Media (2-3 cr. each),
Arabic Language Intensive , Reading the Qur’an,
    ALIN 171,172/1211-1212  -  Readings in the Qur’an (2-4 cr. each),
    ALIN 271,272/2211-2212  -  Readings in the Qur’an (2-3 cr. each),
    ALIN 371,372/3211-3212  -  Qur’anic Studies (3 cr. each),
Arabic Language Intensive , Supervised Readings,
    ALIN 191,192/1991-1992  -  Supervised Studies (1-4 cr. each),
    ALIN 291,292/2991-2992  -  Supervised Studies (1-4 cr. each),
    ALIN 391,392/3991-3992  -  Supervised Studies (1-4 cr. each),
Arabic Language Intensive , Translation,
    ALIN 241,242/2201-2202  -  Intermediate Translation (2-3 cr. each),
    ALIN 341,342/3201-3202  -  Advanced Translation (2-3 cr. each),
Arabic Language Intensive , Writing Arabic,
    ALIN 121,122/1111-1112  -  Elementary Writing (2-3 cr. each),
    ALIN 221,222/2111-2112  -  Intermediate Writing (2-3 cr. each),
    ALIN 225,226/2121-2122  -  Intermediate Reading and Writing (3 cr. each),
    ALIN 321,322/3111-3112  -  Advanced Writing (2-3 cr. each),
    ALIN 325,326/3121-3122  -  Advanced Reading and Writing (3 cr. each),
    ALIS 101,102-103-104/1101-1102-1103-1104  -  Elementary Modern Standard Arabic (2-3 cr. each),
    ALIS 121,122/1111-1112  -  Elementary Writing (1-3 cr. each),
    ALIS 131,132/1131-1132  -  Elementary Printed Media (1-3 cr. each),
    ALIS 171,172/1211-1212  -  Readings in the Qur’an (1 cr. each),
    ALIS 111,112-113/1301-1302-1303  -  Elementary Colloquial Arabic (2-4 cr. each),
    ALIS 191,192/1991-1992  -  Supervised Studies (1-4 cr. each),
    ALIS 201,202-203-204/2101-2102-2103-2104  -  Intermediate Modern Standard Arabic (2-3 cr. each),
    ALIS 221,222/2111-2112  -  Intermediate Writing (1-3 cr. each),
    ALIS 231,232/2131-2132  -  Intermediate Printed Media (1-3 cr. each),
    ALIS 233,234/2133-2134  -  Intermediate Aural Media (1-3 cr. each),
    ALIS 241,242/2201-2202  -  Intermediate Translation (1 cr. each),
    ALIS 271,272/2211-2212  -  Readings in the Qur’an (1-3 cr. each),
    ALIS 252/2251  ,  Readings in Modern Arabic Literature (1 cr.),
    ALIS 211,212/2301-2302  -  Intermediate Colloquial Arabic (2-4 cr. each),
    ALIS 291,292/2991-2992  -  Supervised Studies (1-4 cr. each),
    ALIS 301,302/3101-3102  -  Advanced Modern Standard Arabic (2-3 cr. each),
    ALIS 321,322/3111-3112  -  Advanced Writing (1-3 cr. each),
    ALIS 331,332/3131-3132  -  Advanced Printed Media (1-3 cr. each),
    ALIS 333,334/3133-3134  -  Advanced Aural Media (1-3 cr. each),
    ALIS 341,342/3201-3202  -  Advanced Translation (1 cr. each),
    ALIS 352/3251  ,  Readings in Modern Arabic Literature (1 cr.),
    ALIS 311,312/3301-3302  -  Advanced Colloquial Arabic (2-3 cr. each),
    ALIS 391,392/3991-3992  -  Supervised Studies (1-4 cr. each),
    ALWT 221/2271  ,  From Reading to Writing: Intermediate Level: 3 credits,
    ALWT 321/3271  ,  From Reading to Writing: High Intermediate Level: 3 credits,
    ALWT 462/4201  ,  Professional Translation in Business: 3 credits,
    ALWT 463/4202  ,  Diplomatic Professional Translation: 3 credits,
    ALWT 420/4271  ,  From Reading to Writing: Advanced Level: 3 credits,
    ALWT 421/4272  ,  Arabic Language Proficiency for Media Writing 3 credits,
    ALWT 422/4273  ,  Professional Business Writing: 3 credits,
    ALWT 423/4274  ,  Professional Diplomatic Writing (3 cr),
    ALWT 521/5271  ,  Professional Arabic TV Script Writing 3 credits,
    ARCH 221/1511  ,  Free-hand Representation for Architects (3 cr.),
    ARCH 273/1521  ,  Digital Representation Tools for Architects (2 cr.),
    ARCH 222/1561  ,  Architecture: Art or Engineering (3 cr.),
    ARCH 314/2211  ,  History and Philosophy of Modern and Contemporary Architecture (3 cr.),
    ARCH 234/2221  ,  Human Aspects in Architectural Design (3 cr.),
    ARCH 326/2231  ,  Environmental Control Systems and Sustainable Design (3 cr.),
    ARCH 268/2411  ,  Surveying for Architects (1 cr.),
    ARCH 250/2512  ,  Foundations of 3-Dimensional Design (3 cr.),
    ARCH 251/2551  ,  Introduction to Architectural Design (3 cr.),
    ARCH 351/2552  ,  Architectural Design Studio I (4 cr.),
    ARCH 428/3311  ,  Detail Design and Finishes in Buildings (3 cr.),
    ARCH 426/3321  ,  Building Service Systems and Building Systems Integration (3 cr.),
    ARCH 323/3331  ,  Construction Materials and Quality Control (4 cr.),
    ARCH 473/3522  ,  Digital Design Studio and Workshop (3 cr.),
    ARCH 368/3531  ,  Housing Design and Geographic Information Systems (3 cr.),
    ARCH 352/3553  ,  Architectural Design Studio II (4 cr.),
    ARCH 453/3554  ,  Architectural Design Studio III (4 cr.),
    ARCH 321/3562  ,  Introduction to Architectural Engineering (3 cr.),
    ARCH 496/3950  ,  Internship in Construction Projects (0 cr.),
    ARCH 429/4312  ,  Design Development and Construction Documents (3 cr.),
    ARCH 441/4421  ,"  Professional Practice, Design Management and Codes (2 cr.)",
    ARCH 468/4532  ,  Urban Design and Landscape Architecture (3 cr.),
    ARCH 420/4541  ,  Design of Interior Spaces I (3 cr.),
    ARCH 454/4555  ,  Architectural Design 4 (4 cr.),
    ARCH 456/4557  ,  Architectural Design Studio VI Design Studio Contextual (4 cr.),
    ARCH 455/4558  ,  Architectural Design Studio VIII Design Studio High Tech (4 cr.),
    ARCH 000/4561  ,  Vertical Design Studio A (5 cr.),
    ARCH 000/4562  ,  Vertical Design Studio B (5 cr.),
    ARCH 000/4570  ,  Senior Design Studio (5 cr.),
    ARCH 000/4801  ,  Human and Environmental Studies Theory and Dissertation (2 cr.),
    ARCH 000/4802  ,  Tectonics and Computational Design Theory and Dissertation (2 cr.),
    ARCH 000/4803  ,  Architecture and Urban Heritage Theory and Dissertation (2 cr.),
    ARCH 480/4920  ,  Special Problems in Architectural Engineering (1-3 cr.),
    ARCH 494/4930  ,  Selected Topics in Architectural Engineering (3 cr.),
    ARCH 000/4931  ,  Introduction to Urban and Architecture Conservation (3 cr.),
    ARCH 000/4932  ,  Sustainable Landscape architecture in Hot an Arid Environments (3 cr.),
    ARCH 000/4933  ,  Vernacular Architecture (3 cr.),
    ARCH 000/4934  ,"  Cairo in the Curriculum, The Urban Laboratory: Mapping Cairo’s Complexities (3 cr.)",
    ARCH 000/4935  ,  Coptic Art and Architecture (3 cr.),
    ARCH 000/4936  ,  Design of Interior spaces II 3 credits (1 hr lecture and 3 hours studio),
    ARCH 000/4937  ,  Seminar on Contemporary Architecture Discourse (3 cr.),
    ARCH 000/4938  ,  Urban Dialogues on Heritage and Space (3 cr.),
    ARCH 000/4939  ,  Advanced Architectural Computing (3 cr.),
    ARCH 497/4951  ,  Internship in Technical Drawing and Design (1 cr.),
    ARCH 000/4971  ,  Selected Topics in Human and Environmental Studies of Architectural Engineering (3 cr.),
    ARCH 000/4972  ,  Selected Topics in Tectonics and Computational Design of Architectural Engineering (3 cr.),
    ARCH 000/4973  ,  Selected Topics in Architecture and Urban Heritage Design (3 cr.),
    ARCH 490/4980  ,  Senior Project I (2 cr.),
    ARCH 491/4981  ,  Senior Project (5 cr.),
    ARCH 000/5201  ,  Philosophy & Theory of Architecture (3 cr.),
    ARCH 000/5202  ,  Critical Thinking in Architectural Design (3 cr.),
    ARCH 000/5221  ,  Research Methods in Architecture (3 cr.),
    ARCH 000/5290  ,  Research Guidance Thesis (3 cr.),
    ARTV 199/1099  ,  Selected Topics for Core Curriculum (3 cr.),
    ARTV 213/2113  ,  Introduction to Visual Cultures (3 cr.),
    ARTV 200/2200  ,  Analogue and Digital Practices (3 cr.),
    ARTV 201/2201  ,  Introduction to Drawing (3 cr.),
    ARTV 202/2202  ,  Introduction to Painting (3 cr.),
    ARTV 203/2203  ,  Introduction to sculpture/Installation (3 cr.),
    ARTV 204/2204  ,  Introduction to Time-Based Media (3 cr.),
    ARTV 000/2206  ,  Experimental Animation Art (3 cr.),
    ARTV 000/2207  ,  Introduction to Ceramics (3 cr.),
    ARTV 000/2208  ,  Internship Practice (0 cr.),
    ARTV 000/2209  ,  Studio Professional Practice (0 cr.),
    ARTV 000/2210  ,  Experimental Workshop Practices (0 cr.),
    ARTV 000/2211  ,  Introduction to Experimental Comic Strips (3 cr.),
    ARTV 000/2214  ,  History of Art Practices I (3 cr.),
    ARTV 230/2230  ,  Introduction to Digital Photography (3 cr.),
    ARTV 315/3115  ,  Art Theory (3 cr.),
    ARTV 370/3270  ,  Selected Topics in Art (3 cr.),
