courseCode,courseTitle,prefix,credits
2142,Profiles in Civic Leadership and Civic Project Development,CORE,3
4198,Selected Topic for Core Curriculum,CORE,3
1011,"The Human Quest: Exploring the ""Big Questions""",SEMR,3
1012,"""Who Am I?"": Explorations in Consciousness and Self Across the Disciplines""",SEMR,3
1023,"Celebrating Ideas: A Voyage Through Books, film, Art and Theater",SEMR,3
1099,Selected Topics in Core Curriculum,SEMR,3
1110,Creative Thinking & Problem Solving,SEMR,3
2010,Core Seminar,SEMR,3
2099,Selected Topics in the Humanities,SEMR,3
3099,Core Seminar,SEMR,3
4018,East-West Dialogue: Cross-Cultural Perceptions and Reflections,SEMR,3
4028,The Arab Spring in Arab Eyes: Perceptions and Reflections from the Arab World,SEMR,3
4038,South-South Dialogue: Perceptions and Reflections from the Global South,SEMR,3
1411,Fundamentals of Data Science I,DSCI,3
1412,Fundamentals of Data Science II,DSCI,3
2411,Data Visualization,DSCI,3
3411,Fundamentals of Simulation,DSCI,3
3413,Biostatistics,DSCI,3
3415,Fundamentals of Machine Learning,DSCI,3
4411,Fundamentals of Data Mining,DSCI,3
4412,Introduction to Big Data Technologies,DSCI,3
4413,Analysis of Categorical Data,DSCI,3
4415,Advanced Machine Learning,DSCI,3
4416,Capstone l (Data Science Senior Project l),DSCI,1
4417,Capstone II (Data Science Project II),DSCI,2
4950,Industrial Training,DSCI,3
1099,Selected Topics for Core Curriculum,ECON,3
2011,Introduction to Microeconomics,ECON,3
2021,Introduction to Macroeconomics,ECON,3
2051,Economic History of the Modern Middle East,ECON,3
2061,Mathematics for Economists I,ECON,3
2081,Statistics for Economists,ECON,3
3011,Intermediate Microeconomic Theory,ECON,3
3021,Intermediate Macroeconomic Theory,ECON,3
3041,Monetary Economics,ECON,3
3053,Economic Development,ECON,3
3054,Environmental and Natural Resource Economics,ECON,3
3055,The Digital Economy: The Economics of New Technologies and Development,ECON,3
3061,Mathematics for Economists II,ECON,3
3071,Labor Economics,ECON,3
3081,Introduction to Econometrics,ECON,3
4000,Independent Study,ECON,NULL
4002,Senior Thesis,ECON,3
4012,Feasibility Study,ECON,3
4013,Behavioral Economics,ECON,3
4014,Public Economics and Policy Analysis,ECON,3
